frame,x,y,visible
55,817,390,1
56,807,337,1
57,808,309,1
58,812,305,1
59,824,293,1
60,829,288,1
61,834,284,1
62,838,283,1
63,843,282,1
64,848,281,1
65,852,284,1
66,857,287,1
67,861,290,1
68,866,293,1
69,870,298,1
70,875,304,1
71,880,310,1
72,884,318,1
73,889,327,1
74,894,336,1
75,898,345,1
76,902,354,1
77,903,365,1
78,905,377,1
79,913,345,1
80,957,341,1
81,1001,337,1
82,1072,337,1
83,1124,338,1
84,1177,339,1
85,1177,339,1
86,1177,339,1
87,1177,339,1
88,1177,339,1
89,1177,339,1
90,1177,339,1
91,1177,339,1
92,1177,339,1
93,1177,339,1
94,1177,339,1
95,1177,339,1
96,1177,339,1
97,1177,339,1
98,1177,339,1
99,1177,339,1
100,1177,339,1
101,1177,339,1
102,1177,339,1
103,1177,339,1
104,1177,339,1
105,1177,339,1
106,1177,339,1
107,1177,339,1
108,1177,339,1
109,1177,339,1
110,1177,339,1
111,1177,339,1
112,1177,339,1
113,1177,339,1
114,1177,339,1
115,1177,339,1
116,1177,339,1
117,1177,339,1
118,1177,339,1
119,1177,339,1
120,1177,339,1
121,1177,339,1
122,1177,339,1
123,1177,339,1
124,1177,339,1
125,1177,339,1
126,1177,339,1
127,1177,339,1
128,1177,339,1
129,1177,339,1
130,1177,339,1
131,1177,339,1
132,1177,339,1
133,1177,339,1
134,1177,339,1
135,1177,339,1
136,1177,339,1
137,1177,339,1
138,1177,339,1
139,1177,339,1
140,1177,339,1
141,1177,339,1
142,1177,339,1
143,1177,339,1
144,1177,339,1
145,1177,339,1
146,1177,339,1
147,1177,339,1
148,1177,339,1
149,1177,339,1
150,1177,339,1
151,1177,339,1
152,1177,339,1
153,1177,339,1
154,1177,339,1
155,1177,339,1
156,1177,339,1
157,1177,339,1
158,1177,339,1
159,1177,339,1
160,1177,339,1
161,1177,339,1
162,1177,339,1
163,1177,339,1
164,1177,339,1
165,1177,339,1
166,1177,339,1
167,1177,339,1
168,1177,339,1
169,1177,339,1
170,1177,339,1
171,1177,339,1
172,1177,339,1
173,1177,339,1
174,1177,339,1
175,1177,339,1
176,1177,339,1
177,1177,339,1
178,1177,339,1
179,1177,339,1
180,1177,339,1
181,1177,339,1
182,1177,339,1
183,1177,339,1
184,1177,339,1
185,1177,339,1
186,1177,339,1
187,1177,339,1
188,1177,339,1
189,1177,339,1
190,1177,339,1
191,1177,339,1
192,1177,339,1
193,1177,339,1
194,1177,339,1
195,1177,339,1
196,1177,339,1
197,1177,339,1
198,1177,339,1
199,1177,339,1
200,1177,339,1
201,1177,339,1
202,1177,339,1
203,1177,339,1
204,1177,339,1
205,1177,339,1
206,1177,339,1
207,1177,339,1
208,1177,339,1
209,1177,339,1
210,1177,339,1
211,1177,339,1
212,1177,339,1
213,1177,339,1
214,1177,339,1
215,1177,339,1
216,1177,339,1
217,1177,339,1
218,1177,339,1
219,1177,339,1
220,1177,339,1
221,1177,339,1
222,1177,339,1
223,1177,339,1
224,1177,339,1
225,1177,339,1
226,1177,339,1
227,1177,339,1
228,1177,339,1
229,1177,339,1
230,1177,339,1
231,1177,339,1
232,1177,339,1
233,1177,339,1
234,1177,339,1
235,1177,339,1
236,1177,339,1
